"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Bayside - Little Neck,0 to 4 years,2000,Number,19,uhf404
Bayside - Little Neck,0 to 4 years,2000,Rate,43.8,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2000,Number,485,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2000,Rate,192.6,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2000,Number,17,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2000,Rate,15.5,uhf209
Borough Park,0 to 4 years,2000,Rate,24.1,uhf206
Borough Park,0 to 4 years,2000,Number,65,uhf206
Bronx,0 to 4 years,2000,Number,1822,36005
Bronx,0 to 4 years,2000,Rate,166.6,36005
Brooklyn,0 to 4 years,2000,Rate,97,36047
Brooklyn,0 to 4 years,2000,Number,1764,36047
Canarsie - Flatlands,0 to 4 years,2000,Rate,78.4,uhf208
Canarsie - Flatlands,0 to 4 years,2000,Number,101,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2000,Number,213,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2000,Rate,204,uhf302
Chelsea - Clinton,0 to 4 years,2000,Number,36,uhf306
Chelsea - Clinton,0 to 4 years,2000,Rate,101.3,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2000,Rate,38.4,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2000,Number,61,uhf210
Crotona - Tremont,0 to 4 years,2000,Rate,159,uhf105
Crotona - Tremont,0 to 4 years,2000,Number,315,uhf105
Downtown  - Heights - Slope,0 to 4 years,2000,Rate,65.9,uhf202
Downtown  - Heights - Slope,0 to 4 years,2000,Number,84,uhf202
East Flatbush - Flatbush,0 to 4 years,2000,Number,289,uhf207
East Flatbush - Flatbush,0 to 4 years,2000,Rate,121.1,uhf207
East Harlem,0 to 4 years,2000,Rate,261.5,uhf303
East Harlem,0 to 4 years,2000,Number,202,uhf303
East New York,0 to 4 years,2000,Rate,169,uhf204
East New York,0 to 4 years,2000,Number,262,uhf204
Flushing - Clearview,0 to 4 years,2000,Rate,69.9,uhf403
Flushing - Clearview,0 to 4 years,2000,Number,100,uhf403
Fordham - Bronx Park,0 to 4 years,2000,Rate,150.6,uhf103
Fordham - Bronx Park,0 to 4 years,2000,Number,337,uhf103
Fresh Meadows,0 to 4 years,2000,Number,53,uhf406
Fresh Meadows,0 to 4 years,2000,Rate,87.3,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2000,Rate,41.9,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2000,Number,15,uhf307
Greenpoint,0 to 4 years,2000,Number,35,uhf201
Greenpoint,0 to 4 years,2000,Rate,33.3,uhf201
Greenwich Village - Soho,0 to 4 years,2000,Number,7,uhf308
Greenwich Village - Soho,0 to 4 years,2000,Rate,26.5,uhf308
High Bridge - Morrisania,0 to 4 years,2000,Number,388,uhf106
High Bridge - Morrisania,0 to 4 years,2000,Rate,215.4,uhf106
Hunts Point - Mott Haven,0 to 4 years,2000,Rate,193,uhf107
Hunts Point - Mott Haven,0 to 4 years,2000,Number,219,uhf107
Jamaica,0 to 4 years,2000,Number,240,uhf408
Jamaica,0 to 4 years,2000,Rate,122,uhf408
Kingsbridge - Riverdale,0 to 4 years,2000,Rate,81.2,uhf101
Kingsbridge - Riverdale,0 to 4 years,2000,Number,43,uhf101
Long Island City - Astoria,0 to 4 years,2000,Rate,78,uhf401
Long Island City - Astoria,0 to 4 years,2000,Number,101,uhf401
Lower Manhattan,0 to 4 years,2000,Number,9,uhf310
Lower Manhattan,0 to 4 years,2000,Rate,61.7,uhf310
Manhattan,0 to 4 years,2000,Rate,98.7,36061
Manhattan,0 to 4 years,2000,Number,752,36061
New York City,0 to 4 years,2000,Rate,106.2,3651000
New York City,0 to 4 years,2000,Number,5727,3651000
Northeast Bronx,0 to 4 years,2000,Number,178,uhf102
Northeast Bronx,0 to 4 years,2000,Rate,144.1,uhf102
Pelham - Throgs Neck,0 to 4 years,2000,Number,341,uhf104
Pelham - Throgs Neck,0 to 4 years,2000,Rate,164.4,uhf104
Port  Richmond,0 to 4 years,2000,Rate,64.3,uhf501
Port  Richmond,0 to 4 years,2000,Number,32,uhf501
Queens,0 to 4 years,2000,Number,1248,36081
Queens,0 to 4 years,2000,Rate,87.7,36081
Ridgewood - Forest Hills,0 to 4 years,2000,Rate,72.2,uhf405
Ridgewood - Forest Hills,0 to 4 years,2000,Number,103,uhf405
Rockaway,0 to 4 years,2000,Number,95,uhf410
Rockaway,0 to 4 years,2000,Rate,115,uhf410
South Beach - Tottenville,0 to 4 years,2000,Number,39,uhf504
South Beach - Tottenville,0 to 4 years,2000,Rate,33.5,uhf504
Southeast Queens,0 to 4 years,2000,Rate,97.2,uhf409
Southeast Queens,0 to 4 years,2000,Number,122,uhf409
Southwest Queens,0 to 4 years,2000,Rate,77.1,uhf407
Southwest Queens,0 to 4 years,2000,Number,145,uhf407
Stapleton - St. George,0 to 4 years,2000,Number,58,uhf502
Stapleton - St. George,0 to 4 years,2000,Rate,72.5,uhf502
Staten Island,0 to 4 years,2000,Rate,47.3,36085
Staten Island,0 to 4 years,2000,Number,141,36085
Sunset Park,0 to 4 years,2000,Number,53,uhf205
Sunset Park,0 to 4 years,2000,Rate,55.5,uhf205
Union Square - Lower East Side,0 to 4 years,2000,Rate,70.4,uhf309
Union Square - Lower East Side,0 to 4 years,2000,Number,56,uhf309
Upper East Side,0 to 4 years,2000,Rate,17.2,uhf305
Upper East Side,0 to 4 years,2000,Number,17,uhf305
Upper West Side,0 to 4 years,2000,Number,51,uhf304
Upper West Side,0 to 4 years,2000,Rate,51.4,uhf304
Washington Heights - Inwood,0 to 4 years,2000,Rate,77.3,uhf301
Washington Heights - Inwood,0 to 4 years,2000,Number,143,uhf301
West Queens,0 to 4 years,2000,Number,264,uhf402
West Queens,0 to 4 years,2000,Rate,85.1,uhf402
Williamsburg - Bushwick,0 to 4 years,2000,Number,308,uhf211
Williamsburg - Bushwick,0 to 4 years,2000,Rate,173.9,uhf211
Willowbrook,0 to 4 years,2000,Rate,23,uhf503
Willowbrook,0 to 4 years,2000,Number,12,uhf503
Bayside - Little Neck,0 to 4 years,2001,Number,13,uhf404
Bayside - Little Neck,0 to 4 years,2001,Rate,30.3,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2001,Number,497,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2001,Rate,204.3,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2001,Number,28,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2001,Rate,25.1,uhf209
Borough Park,0 to 4 years,2001,Rate,21.1,uhf206
Borough Park,0 to 4 years,2001,Number,58,uhf206
Bronx,0 to 4 years,2001,Number,1876,36005
Bronx,0 to 4 years,2001,Rate,173.4,36005
Brooklyn,0 to 4 years,2001,Rate,106,36047
Brooklyn,0 to 4 years,2001,Number,1906,36047
Canarsie - Flatlands,0 to 4 years,2001,Rate,74.2,uhf208
Canarsie - Flatlands,0 to 4 years,2001,Number,93,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2001,Number,225,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2001,Rate,215.9,uhf302
Chelsea - Clinton,0 to 4 years,2001,Number,35,uhf306
Chelsea - Clinton,0 to 4 years,2001,Rate,91.8,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2001,Rate,37.5,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2001,Number,60,uhf210
Crotona - Tremont,0 to 4 years,2001,Rate,181,uhf105
Crotona - Tremont,0 to 4 years,2001,Number,352,uhf105
Downtown  - Heights - Slope,0 to 4 years,2001,Rate,79.1,uhf202
Downtown  - Heights - Slope,0 to 4 years,2001,Number,103,uhf202
East Flatbush - Flatbush,0 to 4 years,2001,Number,317,uhf207
East Flatbush - Flatbush,0 to 4 years,2001,Rate,138.2,uhf207
East Harlem,0 to 4 years,2001,Rate,291.9,uhf303
East Harlem,0 to 4 years,2001,Number,224,uhf303
East New York,0 to 4 years,2001,Rate,184.7,uhf204
East New York,0 to 4 years,2001,Number,279,uhf204
Flushing - Clearview,0 to 4 years,2001,Rate,58,uhf403
Flushing - Clearview,0 to 4 years,2001,Number,82,uhf403
Fordham - Bronx Park,0 to 4 years,2001,Rate,155.6,uhf103
Fordham - Bronx Park,0 to 4 years,2001,Number,343,uhf103
Fresh Meadows,0 to 4 years,2001,Number,57,uhf406
Fresh Meadows,0 to 4 years,2001,Rate,93.7,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2001,Rate,31.2,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2001,Number,12,uhf307
Greenpoint,0 to 4 years,2001,Number,61,uhf201
Greenpoint,0 to 4 years,2001,Rate,58.7,uhf201
Greenwich Village - Soho,0 to 4 years,2001,Number,6,uhf308
Greenwich Village - Soho,0 to 4 years,2001,Rate,21.1,uhf308
High Bridge - Morrisania,0 to 4 years,2001,Number,375,uhf106
High Bridge - Morrisania,0 to 4 years,2001,Rate,210.4,uhf106
Hunts Point - Mott Haven,0 to 4 years,2001,Rate,211,uhf107
Hunts Point - Mott Haven,0 to 4 years,2001,Number,238,uhf107
Jamaica,0 to 4 years,2001,Number,292,uhf408
Jamaica,0 to 4 years,2001,Rate,151.4,uhf408
Kingsbridge - Riverdale,0 to 4 years,2001,Rate,62,uhf101
Kingsbridge - Riverdale,0 to 4 years,2001,Number,33,uhf101
Long Island City - Astoria,0 to 4 years,2001,Rate,78.4,uhf401
Long Island City - Astoria,0 to 4 years,2001,Number,99,uhf401
Lower Manhattan,0 to 4 years,2001,Number,9,uhf310
Lower Manhattan,0 to 4 years,2001,Rate,52.4,uhf310
Manhattan,0 to 4 years,2001,Rate,105.6,36061
Manhattan,0 to 4 years,2001,Number,825,36061
New York City,0 to 4 years,2001,Rate,112.5,3651000
New York City,0 to 4 years,2001,Number,6024,3651000
Northeast Bronx,0 to 4 years,2001,Number,176,uhf102
Northeast Bronx,0 to 4 years,2001,Rate,143.9,uhf102
Pelham - Throgs Neck,0 to 4 years,2001,Number,357,uhf104
Pelham - Throgs Neck,0 to 4 years,2001,Rate,173.4,uhf104
Port  Richmond,0 to 4 years,2001,Rate,73.4,uhf501
Port  Richmond,0 to 4 years,2001,Number,36,uhf501
Queens,0 to 4 years,2001,Number,1261,36081
Queens,0 to 4 years,2001,Rate,89.8,36081
Ridgewood - Forest Hills,0 to 4 years,2001,Rate,60.5,uhf405
Ridgewood - Forest Hills,0 to 4 years,2001,Number,86,uhf405
Rockaway,0 to 4 years,2001,Number,117,uhf410
Rockaway,0 to 4 years,2001,Rate,142.1,uhf410
South Beach - Tottenville,0 to 4 years,2001,Number,29,uhf504
South Beach - Tottenville,0 to 4 years,2001,Rate,25.7,uhf504
Southeast Queens,0 to 4 years,2001,Rate,102.4,uhf409
Southeast Queens,0 to 4 years,2001,Number,125,uhf409
Southwest Queens,0 to 4 years,2001,Rate,108.1,uhf407
Southwest Queens,0 to 4 years,2001,Number,199,uhf407
Stapleton - St. George,0 to 4 years,2001,Number,75,uhf502
Stapleton - St. George,0 to 4 years,2001,Rate,96.2,uhf502
Staten Island,0 to 4 years,2001,Rate,53.6,36085
Staten Island,0 to 4 years,2001,Number,156,36085
Sunset Park,0 to 4 years,2001,Number,54,uhf205
Sunset Park,0 to 4 years,2001,Rate,56.6,uhf205
Union Square - Lower East Side,0 to 4 years,2001,Rate,86.8,uhf309
Union Square - Lower East Side,0 to 4 years,2001,Number,71,uhf309
Upper East Side,0 to 4 years,2001,Rate,33.5,uhf305
Upper East Side,0 to 4 years,2001,Number,35,uhf305
Upper West Side,0 to 4 years,2001,Number,54,uhf304
Upper West Side,0 to 4 years,2001,Rate,51.7,uhf304
Washington Heights - Inwood,0 to 4 years,2001,Rate,84.8,uhf301
Washington Heights - Inwood,0 to 4 years,2001,Number,154,uhf301
West Queens,0 to 4 years,2001,Number,188,uhf402
West Queens,0 to 4 years,2001,Rate,60.7,uhf402
Williamsburg - Bushwick,0 to 4 years,2001,Number,353,uhf211
Williamsburg - Bushwick,0 to 4 years,2001,Rate,204.1,uhf211
Willowbrook,0 to 4 years,2001,Rate,31.4,uhf503
Willowbrook,0 to 4 years,2001,Number,16,uhf503
Bayside - Little Neck,0 to 4 years,2003,Number,14,uhf404
Bayside - Little Neck,0 to 4 years,2003,Rate,32.9,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2003,Number,576,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2003,Rate,248.8,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2003,Number,32,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2003,Rate,28.1,uhf209
Borough Park,0 to 4 years,2003,Rate,15.5,uhf206
Borough Park,0 to 4 years,2003,Number,44,uhf206
Bronx,0 to 4 years,2003,Number,2271,36005
Bronx,0 to 4 years,2003,Rate,212.4,36005
Brooklyn,0 to 4 years,2003,Rate,120.2,36047
Brooklyn,0 to 4 years,2003,Number,2129,36047
Canarsie - Flatlands,0 to 4 years,2003,Rate,103.6,uhf208
Canarsie - Flatlands,0 to 4 years,2003,Number,125,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2003,Number,217,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2003,Rate,211.1,uhf302
Chelsea - Clinton,0 to 4 years,2003,Number,33,uhf306
Chelsea - Clinton,0 to 4 years,2003,Rate,78.8,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2003,Rate,48.9,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2003,Number,79,uhf210
Crotona - Tremont,0 to 4 years,2003,Rate,268.9,uhf105
Crotona - Tremont,0 to 4 years,2003,Number,508,uhf105
Downtown  - Heights - Slope,0 to 4 years,2003,Rate,95.9,uhf202
Downtown  - Heights - Slope,0 to 4 years,2003,Number,130,uhf202
East Flatbush - Flatbush,0 to 4 years,2003,Number,379,uhf207
East Flatbush - Flatbush,0 to 4 years,2003,Rate,176.1,uhf207
East Harlem,0 to 4 years,2003,Rate,241.9,uhf303
East Harlem,0 to 4 years,2003,Number,183,uhf303
East New York,0 to 4 years,2003,Rate,208.1,uhf204
East New York,0 to 4 years,2003,Number,303,uhf204
Flushing - Clearview,0 to 4 years,2003,Rate,55.8,uhf403
Flushing - Clearview,0 to 4 years,2003,Number,78,uhf403
Fordham - Bronx Park,0 to 4 years,2003,Rate,174.6,uhf103
Fordham - Bronx Park,0 to 4 years,2003,Number,376,uhf103
Fresh Meadows,0 to 4 years,2003,Number,27,uhf406
Fresh Meadows,0 to 4 years,2003,Rate,43.9,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2003,Rate,35.8,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2003,Number,15,uhf307
Greenpoint,0 to 4 years,2003,Number,56,uhf201
Greenpoint,0 to 4 years,2003,Rate,55.1,uhf201
Greenwich Village - Soho,0 to 4 years,2003,Number,9,uhf308
Greenwich Village - Soho,0 to 4 years,2003,Rate,28.7,uhf308
High Bridge - Morrisania,0 to 4 years,2003,Number,502,uhf106
High Bridge - Morrisania,0 to 4 years,2003,Rate,285.6,uhf106
Hunts Point - Mott Haven,0 to 4 years,2003,Rate,212.6,uhf107
Hunts Point - Mott Haven,0 to 4 years,2003,Number,239,uhf107
Jamaica,0 to 4 years,2003,Number,306,uhf408
Jamaica,0 to 4 years,2003,Rate,165.2,uhf408
Kingsbridge - Riverdale,0 to 4 years,2003,Rate,63.3,uhf101
Kingsbridge - Riverdale,0 to 4 years,2003,Number,35,uhf101
Long Island City - Astoria,0 to 4 years,2003,Rate,62.8,uhf401
Long Island City - Astoria,0 to 4 years,2003,Number,76,uhf401
Lower Manhattan,0 to 4 years,2003,Number,12,uhf310
Lower Manhattan,0 to 4 years,2003,Rate,55.2,uhf310
Manhattan,0 to 4 years,2003,Rate,95.2,36061
Manhattan,0 to 4 years,2003,Number,764,36061
New York City,0 to 4 years,2003,Rate,124.1,3651000
New York City,0 to 4 years,2003,Number,6591,3651000
Northeast Bronx,0 to 4 years,2003,Number,224,uhf102
Northeast Bronx,0 to 4 years,2003,Rate,185.1,uhf102
Pelham - Throgs Neck,0 to 4 years,2003,Number,386,uhf104
Pelham - Throgs Neck,0 to 4 years,2003,Rate,187.4,uhf104
Port  Richmond,0 to 4 years,2003,Rate,90.5,uhf501
Port  Richmond,0 to 4 years,2003,Number,45,uhf501
Queens,0 to 4 years,2003,Number,1266,36081
Queens,0 to 4 years,2003,Rate,91.8,36081
Ridgewood - Forest Hills,0 to 4 years,2003,Rate,74.5,uhf405
Ridgewood - Forest Hills,0 to 4 years,2003,Number,106,uhf405
Rockaway,0 to 4 years,2003,Number,105,uhf410
Rockaway,0 to 4 years,2003,Rate,128.5,uhf410
South Beach - Tottenville,0 to 4 years,2003,Number,36,uhf504
South Beach - Tottenville,0 to 4 years,2003,Rate,32.7,uhf504
Southeast Queens,0 to 4 years,2003,Rate,95.5,uhf409
Southeast Queens,0 to 4 years,2003,Number,110,uhf409
Southwest Queens,0 to 4 years,2003,Rate,116,uhf407
Southwest Queens,0 to 4 years,2003,Number,207,uhf407
Stapleton - St. George,0 to 4 years,2003,Number,66,uhf502
Stapleton - St. George,0 to 4 years,2003,Rate,85.3,uhf502
Staten Island,0 to 4 years,2003,Rate,56,36085
Staten Island,0 to 4 years,2003,Number,161,36085
Sunset Park,0 to 4 years,2003,Number,37,uhf205
Sunset Park,0 to 4 years,2003,Rate,38.9,uhf205
Union Square - Lower East Side,0 to 4 years,2003,Rate,75.1,uhf309
Union Square - Lower East Side,0 to 4 years,2003,Number,63,uhf309
Upper East Side,0 to 4 years,2003,Rate,29.7,uhf305
Upper East Side,0 to 4 years,2003,Number,33,uhf305
Upper West Side,0 to 4 years,2003,Number,68,uhf304
Upper West Side,0 to 4 years,2003,Rate,61,uhf304
Washington Heights - Inwood,0 to 4 years,2003,Rate,74.3,uhf301
Washington Heights - Inwood,0 to 4 years,2003,Number,130,uhf301
West Queens,0 to 4 years,2003,Number,232,uhf402
West Queens,0 to 4 years,2003,Rate,74.4,uhf402
Williamsburg - Bushwick,0 to 4 years,2003,Number,365,uhf211
Williamsburg - Bushwick,0 to 4 years,2003,Rate,219.3,uhf211
Willowbrook,0 to 4 years,2003,Rate,27.8,uhf503
Willowbrook,0 to 4 years,2003,Number,14,uhf503
Bayside - Little Neck,0 to 4 years,2004,Number,21,uhf404
Bayside - Little Neck,0 to 4 years,2004,Rate,49.2,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2004,Number,487,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2004,Rate,214.6,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2004,Number,21,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2004,Rate,18,uhf209
Borough Park,0 to 4 years,2004,Rate,20.9,uhf206
Borough Park,0 to 4 years,2004,Number,61,uhf206
Bronx,0 to 4 years,2004,Number,2002,36005
Bronx,0 to 4 years,2004,Rate,189.1,36005
Brooklyn,0 to 4 years,2004,Rate,105,36047
Brooklyn,0 to 4 years,2004,Number,1863,36047
Canarsie - Flatlands,0 to 4 years,2004,Rate,107.4,uhf208
Canarsie - Flatlands,0 to 4 years,2004,Number,128,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2004,Number,198,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2004,Rate,192.7,uhf302
Chelsea - Clinton,0 to 4 years,2004,Number,25,uhf306
Chelsea - Clinton,0 to 4 years,2004,Rate,56.5,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2004,Rate,34.7,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2004,Number,57,uhf210
Crotona - Tremont,0 to 4 years,2004,Rate,201.6,uhf105
Crotona - Tremont,0 to 4 years,2004,Number,373,uhf105
Downtown  - Heights - Slope,0 to 4 years,2004,Rate,63.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2004,Number,89,uhf202
East Flatbush - Flatbush,0 to 4 years,2004,Number,286,uhf207
East Flatbush - Flatbush,0 to 4 years,2004,Rate,136.4,uhf207
East Harlem,0 to 4 years,2004,Rate,200.8,uhf303
East Harlem,0 to 4 years,2004,Number,151,uhf303
East New York,0 to 4 years,2004,Rate,178.4,uhf204
East New York,0 to 4 years,2004,Number,256,uhf204
Flushing - Clearview,0 to 4 years,2004,Rate,56.5,uhf403
Flushing - Clearview,0 to 4 years,2004,Number,79,uhf403
Fordham - Bronx Park,0 to 4 years,2004,Rate,185.1,uhf103
Fordham - Bronx Park,0 to 4 years,2004,Number,392,uhf103
Fresh Meadows,0 to 4 years,2004,Number,37,uhf406
Fresh Meadows,0 to 4 years,2004,Rate,59.3,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2004,Rate,29.4,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2004,Number,13,uhf307
Greenpoint,0 to 4 years,2004,Number,52,uhf201
Greenpoint,0 to 4 years,2004,Rate,51,uhf201
Greenwich Village - Soho,0 to 4 years,2004,Number,10,uhf308
Greenwich Village - Soho,0 to 4 years,2004,Rate,30.1,uhf308
High Bridge - Morrisania,0 to 4 years,2004,Number,426,uhf106
High Bridge - Morrisania,0 to 4 years,2004,Rate,245.3,uhf106
Hunts Point - Mott Haven,0 to 4 years,2004,Rate,221.4,uhf107
Hunts Point - Mott Haven,0 to 4 years,2004,Number,247,uhf107
Jamaica,0 to 4 years,2004,Number,270,uhf408
Jamaica,0 to 4 years,2004,Rate,147.7,uhf408
Kingsbridge - Riverdale,0 to 4 years,2004,Rate,70.6,uhf101
Kingsbridge - Riverdale,0 to 4 years,2004,Number,40,uhf101
Long Island City - Astoria,0 to 4 years,2004,Rate,56.2,uhf401
Long Island City - Astoria,0 to 4 years,2004,Number,67,uhf401
Lower Manhattan,0 to 4 years,2004,Number,9,uhf310
Lower Manhattan,0 to 4 years,2004,Rate,37,uhf310
Manhattan,0 to 4 years,2004,Rate,82.2,36061
Manhattan,0 to 4 years,2004,Number,674,36061
New York City,0 to 4 years,2004,Rate,109.5,3651000
New York City,0 to 4 years,2004,Number,5823,3651000
Northeast Bronx,0 to 4 years,2004,Number,177,uhf102
Northeast Bronx,0 to 4 years,2004,Rate,147.4,uhf102
Pelham - Throgs Neck,0 to 4 years,2004,Number,345,uhf104
Pelham - Throgs Neck,0 to 4 years,2004,Rate,167.8,uhf104
Port  Richmond,0 to 4 years,2004,Rate,74.3,uhf501
Port  Richmond,0 to 4 years,2004,Number,37,uhf501
Queens,0 to 4 years,2004,Number,1160,36081
Queens,0 to 4 years,2004,Rate,84.2,36081
Ridgewood - Forest Hills,0 to 4 years,2004,Rate,68.3,uhf405
Ridgewood - Forest Hills,0 to 4 years,2004,Number,98,uhf405
Rockaway,0 to 4 years,2004,Number,121,uhf410
Rockaway,0 to 4 years,2004,Rate,147.2,uhf410
South Beach - Tottenville,0 to 4 years,2004,Number,22,uhf504
South Beach - Tottenville,0 to 4 years,2004,Rate,20.2,uhf504
Southeast Queens,0 to 4 years,2004,Rate,100.3,uhf409
Southeast Queens,0 to 4 years,2004,Number,113,uhf409
Southwest Queens,0 to 4 years,2004,Rate,91,uhf407
Southwest Queens,0 to 4 years,2004,Number,161,uhf407
Stapleton - St. George,0 to 4 years,2004,Number,49,uhf502
Stapleton - St. George,0 to 4 years,2004,Rate,63.9,uhf502
Staten Island,0 to 4 years,2004,Rate,43.4,36085
Staten Island,0 to 4 years,2004,Number,124,36085
Sunset Park,0 to 4 years,2004,Number,43,uhf205
Sunset Park,0 to 4 years,2004,Rate,44.9,uhf205
Union Square - Lower East Side,0 to 4 years,2004,Rate,73,uhf309
Union Square - Lower East Side,0 to 4 years,2004,Number,62,uhf309
Upper East Side,0 to 4 years,2004,Rate,22.3,uhf305
Upper East Side,0 to 4 years,2004,Number,26,uhf305
Upper West Side,0 to 4 years,2004,Number,59,uhf304
Upper West Side,0 to 4 years,2004,Rate,50.5,uhf304
Washington Heights - Inwood,0 to 4 years,2004,Rate,70.5,uhf301
Washington Heights - Inwood,0 to 4 years,2004,Number,121,uhf301
West Queens,0 to 4 years,2004,Number,188,uhf402
West Queens,0 to 4 years,2004,Rate,59.6,uhf402
Williamsburg - Bushwick,0 to 4 years,2004,Number,380,uhf211
Williamsburg - Bushwick,0 to 4 years,2004,Rate,231.6,uhf211
Willowbrook,0 to 4 years,2004,Rate,31.9,uhf503
Willowbrook,0 to 4 years,2004,Number,16,uhf503
Bayside - Little Neck,0 to 4 years,2005,Number,10,uhf404
Bayside - Little Neck,0 to 4 years,2005,Rate,23.5,uhf404
Bayside - Little Neck,5 to 17 Years,2005,Number,16,uhf404
Bayside - Little Neck,5 to 17 Years,2005,Rate,13.1,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Number,379,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Rate,171.2,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Number,298,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Rate,47.8,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2005,Number,20,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2005,Rate,16.9,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Number,11,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Rate,4.1,uhf209
Borough Park,0 to 4 years,2005,Rate,14.1,uhf206
Borough Park,0 to 4 years,2005,Number,42,uhf206
Borough Park,5 to 17 Years,2005,Number,36,uhf206
Borough Park,5 to 17 Years,2005,Rate,5.7,uhf206
Bronx,0 to 4 years,2005,Number,1791,36005
Bronx,0 to 4 years,2005,Rate,171.2,36005
Bronx,5 to 17 Years,2005,Number,1594,36005
Bronx,5 to 17 Years,2005,Rate,58,36005
Brooklyn,0 to 4 years,2005,Rate,83.9,36047
Brooklyn,0 to 4 years,2005,Number,1481,36047
Brooklyn,5 to 17 Years,2005,Number,1414,36047
Brooklyn,5 to 17 Years,2005,Rate,32.2,36047
Canarsie - Flatlands,0 to 4 years,2005,Rate,90.6,uhf208
